"id","year","lat","lng","category","title_tr","location_tr","description_tr","title_en","location_en","description_en"
"1","1853","41.0082","28.9784","hukuki","İlk Şehremaneti","İstanbul","Osmanlı'da modern belediye-idari aygıtın doğuşu. Vakıf-mahalle düzeninden merkezîleşmiş kentsel yönetime geçiş; Diyarbekir, Mardin gibi vilayet merkezlerine yayılacak.","First Şehremaneti","Istanbul","The birth of modern municipal administration in the Ottoman Empire. A shift from waqf-quarter order to centralised urban governance — soon spreading to provincial centres like Diyarbekir and Mardin."
"2","1858","41.0082","28.9784","hukuki","Arazi Kanunnâmesi","Osmanlı","Tımar/mîrî arazi rejimini tasfiye eden kanun. Kürdistan'da kolektif kullanımdaki toprakların aşiret reisleri ve şeyhler eliyle özel mülkiyete dönüşmesi — 1934 İskân ve 1945 Toprak Reformu tartışmalarının zemini.","Ottoman Land Code","Ottoman Empire","The law that dissolved the tımar/mîrî regime. In Kurdistan, lands held in collective use shifted into private ownership through aşiret leaders and sheikhs."
"3","1864","37.9144","40.2306","hukuki","Vilayet Nizamnamesi — Vilâyât-ı Sitte","Diyarbekir","Diyarbekir, Van, Erzurum, Bitlis, Mamuretü'l-Aziz vilayetlerinin sınırları ilk kez modern anlamda çizildi. 'Altı Vilâyet' — sonraki yarım asrın şiddet sarmalının coğrafi çerçevesi.","Provincial Regulation — Six Vilâyets","Diyarbekir","The boundaries of Diyarbekir, Van, Erzurum, Bitlis and Mamuretü'l-Aziz were drawn in modern form. The 'Six Vilâyets' would frame the geography of violence for the next half-century."
"4","1865","37.9144","40.2306","hukuki","Diyarbekir Şehremaneti","Diyarbekir","Diyarbakır'da ilk belediye teşkilatı. Merkezi devletin kent mekânına doğrudan müdahalesinin başlangıcı. Suriçi'nin çok-cemaatli yapısı hâlâ canlı.","Diyarbekir Şehremaneti","Diyarbekir","The first municipal body in Diyarbakır. The starting point of direct state intervention in the city. Suriçi's multi-communal fabric was still alive."
"5","1890","38.4944","43.3833","hukuki","Hamidiye Hafif Süvari Alayları","Doğu vilayetleri","II. Abdülhamid'in fermanıyla Sünni Kürt aşiretlerinden süvari alayları. Kürt aşiret yapısını silahlandırarak Ermeni-Süryani nüfusa karşı paramiliter güç. 1985 Köy Korucuları sisteminin doğrudan tarihsel öncülü.","Hamidiye Cavalry Regiments","Eastern Provinces","By decree of Abdülhamid II, irregular cavalry regiments were formed from Sunni Kurdish tribes — the direct historical ancestor of the 1985 Village Guard system."
"6","1894","38.35","41.45","yerinden","Hamidiye Katliamları","Sasun, Diyarbekir, Urfa","1894–96 arasında imparatorluk genelinde 80.000–300.000 Ermeni öldürüldü. 1 Kasım 1895'te Diyarbekir merkezinde patlak veren olaylar; Pirinççizade Arif Bey gibi 1915'in failleri 'stajını' tamamladı.","Hamidian Massacres","Sasun, Diyarbekir, Urfa","Between 1894–96, 80,000–300,000 Armenians killed across the empire. The riots in Diyarbekir on 1 November 1895 became the apprenticeship of perpetrators like Pirinççizade Arif Bey."
"7","1909","37.0","35.3213","yerinden","Adana Katliamı","Adana","Mart-Nisan 1909'da Adana ve çevresinde 20.000–30.000 Ermeni öldürüldü. Vilâyât-ı Sitte boyunca İTC'nin 'müslüman unsuru güçlendirme' politikasını hızlandırdı.","Adana Massacre","Adana","March–April 1909, 20,000–30,000 Armenians killed in and around Adana. Accelerated the CUP's policy of 'strengthening the Muslim element'."
"8","1912","41.0082","28.9784","hukuki","Vakıflar Beyannamesi","İstanbul","Vakıfların taşınmazlarına el konulma süreci. Geçici kanunla 'mülhak vakıflar' grubuna alındılar. Gayrimüslim cemaat vakıfları ağır etkilendi.","Foundations Declaration","Istanbul","The legal process for seizing waqf properties. Non-Muslim community waqfs were severely affected."
"9","1914","37.9144","40.2306","hukuki","Ermeni Reform Antlaşması — Dr. Mehmed Reşid","Diyarbekir","Vilâyât-ı Sitte ikiye bölünerek Hoff ve Westenenk genel müfettiş atandı. Dr. Mehmed Reşid bölgeyi öğrendi; 1915'te Diyarbekir valisi olarak soykırımın yerel uygulayıcısı oldu.","Armenian Reform Agreement — Dr. Mehmed Reşid","Diyarbekir","The Six Vilâyets were split between inspectors Hoff and Westenenk. Dr. Mehmed Reşid learned the region; in 1915 he became the local executor of genocide as governor of Diyarbekir."
"10","1915","37.9144","40.2306","yerinden","Tehcir Kanunu — Sevk ve İskân","Diyarbekir","27 Mayıs 1915. Resmi rakam 422.758 tehcir; akademik: 800.000–1.500.000 ölü. Diyarbekir Valisi Dr. Mehmed Reşid kanunu Süryanileri ve Keldanileri de dahil ederek uyguladı. Dicle kıyısında Çalıkan boğmaları (636 kişi).","Tehcir Law","Diyarbekir","27 May 1915. Official figure: 422,758 deported; academic estimates: 800,000–1,500,000 killed. Governor Reşid extended the law to include Syriacs and Chaldeans."
"11","1915","37.35","41.4","yerinden","Süryani Soykırımı (Seyfo)","Tur Abdin","1914–20 arasında Tur Abdin (Mardin), Hakkari, Siirt, Diyarbekir'de 250.000–300.000 Süryani öldürüldü — bölgedeki Süryani nüfusunun üçte ikisi. Mor Gabriel, Aynvert, Midyat, Azakh (İdil) direnişleri.","Syriac Genocide (Seyfo)","Tur Abdin","Between 1914–20, 250,000–300,000 Syriacs killed across Tur Abdin, Hakkari, Siirt and Diyarbekir — roughly two-thirds of the region's Syriac population."
